,Cat,Maker,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total_Sales
0,3W,"""VOLVO GROUP INDIA PVT LTD""",0,0,31,12,0,0,0,0,0,0,43
1,3W,3EV INDUSTRIES PVT LTD,0,0,0,0,0,0,112,390,545,51,1098
2,2W,3GB TECHNOLOGY PVT LTD,0,0,0,1,0,0,0,0,0,0,1
3,3W,3GB TECHNOLOGY PVT LTD,0,1,1,0,0,0,0,0,0,0,2
4,3W,3S INDUSTRIES PRIVATE LIMITED,0,0,0,0,48,66,43,68,266,578,1069
5,4W,3S INDUSTRIES PRIVATE LIMITED,0,0,0,0,3,1,0,0,0,0,4
6,3W,A B EXCAVATORS & EARTHMOVER LTD,0,1,0,0,0,0,0,0,0,0,1
7,3W,A D AGRO WORKS,0,0,2,1,0,0,0,0,0,0,3
8,3W,A K AUTTO ELECTRICAL,0,1,72,56,42,1,5,3,2,0,182
9,3W,A K GUPTA & CO.,0,0,100,625,438,195,256,433,563,355,2965
10,3W,A P I MOTORS PVT LTD,0,0,0,2,28,14,20,93,279,146,582
11,4W,A R T WELDING WORKS,0,1,0,2,0,0,0,0,0,0,3
12,3W,A. K. AUTTO ELECTRICAL,0,0,0,0,0,1,0,0,0,0,1
13,3W,A.J ENTERPRISES,0,0,0,0,0,0,0,0,0,66,66
14,3W,A.K.AUTO ELECTRICAL,0,2,8,0,0,0,0,0,0,0,10
15,3W,A.R. MOTOR,0,0,0,0,0,0,0,0,0,164,164
16,3W,A.V.AUTOMOTIVES PVT LTD,0,0,33,280,452,256,677,1451,1309,674,5132
17,2W,A-1 SUREJA INDUSTRIES,0,0,0,0,0,0,0,0,0,2,2
18,3W,A3T INCORPORTED,0,8,94,85,41,3,17,8,0,0,256
19,4W,A3T INCORPORTED,0,0,2,75,0,0,0,0,0,0,77
20,3W,AADHYA ENTERPRISES,0,3,0,4,6,4,6,516,797,312,1648
21,4W,AADHYA ENTERPRISES,0,0,0,0,0,1,0,0,0,0,1
22,3W,AADITYA EMOTORS INDIA PVT LTD,0,1,471,179,10,0,0,0,0,0,661
23,4W,AADITYA EMOTORS INDIA PVT LTD,0,0,2,6,0,0,0,0,0,0,8
24,3W,AADITYA GARBAGE PRODUCTS PVT LTD,0,0,0,0,13,0,0,10,34,4,61
25,4W,AADITYA GARBAGE PRODUCTS PVT LTD,0,0,0,0,1,0,0,0,0,0,1
26,3W,AAHANA COMMERCE PVT LTD,0,0,0,0,0,61,202,309,918,1194,2684
27,3W,AAKK AUTO PVT LTD,0,0,0,0,0,0,0,0,0,16,16
28,3W,AARGEE ELECTRIC,0,0,1,0,0,0,10,13,18,4,46
29,3W,AASHI INDIA AUTOMOBILES PVT LTD,0,0,0,0,1,0,0,0,0,0,1
30,3W,ABHAVIS TECHNOLOGY (I) PVT LTD,0,0,1,0,0,0,0,0,0,0,1
31,4W,ABIRAMI ENGINEERING WORKS,0,0,1,0,0,0,0,0,0,0,1
32,2W,ABZO MOTORS PVT LTD,0,0,0,0,0,0,0,0,12,48,60
33,3W,ACCRETION POWER AUTOS,0,1,21,240,315,111,207,608,598,329,2430
34,2W,ACTION CONSTRUCTION EQUIPMENT LTD.,0,1,0,0,0,0,0,0,0,0,1
35,3W,ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,4,0,0,0,0,0,0,0,4
36,4W,ACTION CONSTRUCTION EQUIPMENT LTD.,6,1,0,0,0,0,0,0,0,0,7
37,3W,ADAPT MOTORS PVT LTD,0,0,0,0,6,2,1,3,4,1,17
38,4W,ADAPT MOTORS PVT LTD,0,0,0,0,0,0,0,0,0,1,1
39,3W,ADIDEV TECHNOA PVT LTD,0,0,0,0,8,14,34,168,689,927,1840
40,3W,ADITYA AGRO INDUSTRIES,0,2,17,3,0,0,1,0,0,0,23
41,3W,ADITYA ENTERPRISES,0,0,0,0,1,0,5,3,1,0,10
42,3W,ADITYA SAI INDUSTRIES,0,39,187,176,296,75,53,129,179,152,1286
43,4W,ADITYA SAI INDUSTRIES,0,0,2,2,0,0,0,0,0,0,4
44,3W,ADM TECHNOLOGIES PVT. LTD.,0,0,0,0,0,0,0,0,129,151,280
45,2W,ADRIS ELECTRIC PVT LTD,0,0,0,0,0,0,65,226,61,8,360
46,2W,AFTEK MOTORS INDIA PVT LTD,0,0,0,0,0,1,8,186,138,34,367
47,3W,AGRASEN ENGINEERING WORKS,0,1,0,0,0,0,0,0,0,0,1
48,3W,AGRAWAL RENEWABLE ENERGY PVT LTD,0,0,0,0,2,2,1,1,0,2,8
49,3W,AGRO INDUSTRIES,0,0,1,0,0,0,0,0,0,0,1
50,4W,AHITESHAM AGRO ENGINEERING,0,0,2,0,0,0,0,0,0,0,2
51,2W,AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,0,0,0,0,0,0,1,0,0,0,1
52,3W,AJAY MOTORS PRIVATE LIMITED,0,0,0,0,0,0,0,33,190,109,332
53,3W,AKASH AGRO INDUSTRIES,0,0,0,0,1,0,0,0,0,0,1
54,4W,AKASH TRAILOR,0,0,0,1,0,0,0,0,0,0,1
55,3W,AKG INTERNATIONAL,0,0,0,0,0,0,0,0,138,1048,1186
