Brand,Model,Rating(out of 5),Top Speed (kmph),Range (km),Weight (kg),Charging Time (hrs),Price,Class,Load Capacity
OLA,Roadster,4.7,116,151,-,-,104999,2W,-
OLA,Roadster Pro,5,194,579,-,-,199999,2W,-
OLA,Roadster X,5,105,117,-,-,84999,2W,-
OLA,S1 X,4.3,85,95,101,5,84999,2W,-
Bajaj,Chetak,3.7,63,123,-,6,110208,2W,-
OLA,S1 Pro,4.2,120,195,116,7,140038,2W,-
Ather,Rizta,4.8,80,123,119,8,111773,2W,-
TVS,iQube,3.4,75,75,115,-,117630,2W,-
Ather,450X,4.1,90,111,108,8,141306,2W,-
BMW,CE 0,4.5,120,130,231,4,1490000,2W,-
OLA,S1 Air,4.2,90,151,108,5,112885,2W,-
Ultraviolette,F77 Mach 2,4.8,155,211,197,-,299000,2W,-
Revolt,RV 400,4.1,85,150,108,5,142939,2W,-
Ampere,Nexus,4.7,93,136,-,-,109900,2W,-
Ferrato,Disruptor,4.8,95,129,164,5,169999,2W,-
Ather,450S,4.5,90,115,108,8,119826,2W,-
Vida,V1,4.1,80,100,124,5,116879,2W,-
Tork,Kratos R,4.4,105,180,140,7,149999,2W,-
Matter,AERA,4.3,-,125,-,5,173999,2W,-
Yo,Edge,4,25,60,59,8,49086,2W,-
TVS,X,3.1,105,140,-,4,249990,2W,-
Ather,450 Apex,5,100,157,112,5,195069,2W,-
Simple Energy,One,4.4,105,212,137,4,165999,2W,-
Hero Electric,Optima CX,3.1,48,89,93,5,98600,2W,-
Odysse,Evoqis,4,80,140,150,6,171250,2W,-
Hop Electric,OXO,3.6,88,140,140,5,141720,2W,-
Okinawa,R30,3.1,25,60,-,5,62216,2W,-
Ampere,Reo Li Plus,3.8,25,70,-,6,59907,2W,-
Kinetic Green,E Luna,4.1,50,90,96,4,69994,2W,-
PURE EV,Etryst 350,3.9,85,140,120,6,129999,2W,-
Ampere,Magnus,2.9,45,80,96,6,79909,2W,-
Lectrix,SX25,4.6,25,60,70,4,54999,2W,-
Hero Electric,Atria,4.2,25,85,69,5,77690,2W,-
PURE EV,EPluto 7G,2.3,47,101,76,4,77999,2W,-
Joy e-bike,Mihos,3.6,70,130,110,5,148981,2W,-
Odysse,Vader,4.8,85,125,128,4,161574,2W,-
Benling,Aura,2.6,60,120,-,6,91667,2W,-
Yo,Drift,3.8,25,60,59,8,51094,2W,-
Simple Energy,Dot One,4.1,105,151,126,4,140499,2W,-
BGauss,RUV350,5,75,90,122,-,109999,2W,-
Ampere,Magnus,2.9,45,80,96,6,79909,2W,-
Lectrix,SX25,4.6,25,60,70,4,54999,2W,-
Hero Electric,Atria,4.2,25,85,69,5,77690,2W,-
