Unnamed: 0,Recipe Name,Ingredients,Calories,Sugar (g),Total Fat (g),Saturated Fat (g),Cuisine,diabetic_friendly,non_diabetic_friendly
0,Chicken with Curry Leaves from Andhra Pradesh (Kodi Gasi) recipes,"3 medium chicken breasts, cut into bite-sized pieces, 2 tablespoons coconut fat (or any oil of your choice), 5 big European shallots, finely sliced, 15 curry leaves (fresh or frozen), salt, 150 ml coconut milk, 4 long fresh red chilli peppers (choose the variety according to your heat resistance), sliced, 1 1/2 tablespoon coriander seeds, 1/2 teaspoon fenugreek seeds, 1 1/2 teaspoon cumin seeds, 1 teaspoon crushed garlic (about 3 medium garlic cloves), 4 black peppercorns, 2 teaspoons turmeric powder, 4 shallots, sliced, 1 teaspoon salt",2002.334204275392,51.73319826888701,73.75898961598858,32.17638408123626,Andhra Pradesh,False,False
1,Punugulu,"2 Cup Idli/Dosa batter, 0.5 Cup Besan flour, 0.25 Cup Corn flour, 1 medium Onions, 3 Green chillies, 0.25 teaspoon Garam masala, 0.75 teaspoon Red chilli powder, 0.12 teaspoon Hing, Coriander leaves as required, Salt as required",1057.899201657335,13.100185222773083,3.9450367992256674,0.767980676006452,Andhra Pradesh,False,True
2,Bid goodbye to grey boiled eggs thanks to this recipe from Matt Preston,"1/3 cup (80ml) sunflower oil, plus extra 1/3 cup (80ml), 2 tbs yellow mustard seeds, 1/4 cup loosely packed curry leaves, plus 4 extra sprigs to serve, 4 red onions, coarsely grated, drained, 10 garlic cloves, finely grated, 10cm piece (50g) ginger, finely grated, 1 tbs ground turmeric, 2 tsp ground coriander, 1 tsp cumin seeds, 2 tbs tomato paste, 2 tbs tamarind puree, 2 tsp caster sugar, 12 hardboiled eggs, peeled, 2 tsp chilli powder, 1 tsp sweet paprika, 3 long green chillies, halved lengthways, Coriander sprigs, Warm flatbread, to serve",1974.410794292268,50.1718400002391,133.1021444900136,26.887364033701065,Andhra Pradesh,False,False
3,Andhra Gunpowder,"1 cup roasted gram (also known as chana dalia or roasted split chickpeas; available at Indian markets), 1 tablespoon unsweetened shredded coconut, 1/4 teaspoon vegetable oil, 1 teaspoon cumin seeds, such as Diaspora Nagauri, 1 teaspoon coriander seeds, such as Diaspora Nandini, 6 to 10 dried red chiles, such as Diaspora Guntur sannam (or fewer, for less spice), broken in half, Kosher salt (we use Diamond Crystal), 1/2 teaspoon sugar, 10 cloves garlic, smashed and peeled, 10 dried curry leaves (available at Indian markets)",134.521833333438,4.477518749993398,5.776929166687635,3.2260799999537606,Andhra Pradesh,True,True
4,Ginger Chutney,"1/2 cup peeled, grated ginger, 1 1/4 teaspoons tamarind paste, 3/4 teaspoon red chilli powder, 1 teaspoon honey, 1/4 teaspoon cumin powder, 4-5 teaspoons water to facilitate blending",75.01800000146781,7.984222500355595,0.7854000000009511,0.1638400000004311,Andhra Pradesh,True,True
5,Royyala Iguru (Stir-Fried Prawns),"500g prawns, ½ teaspoon turmeric powder, ½ teaspoon salt, 2 teaspoons vegetable oil, 8–10 fresh curry leaves, 1-inch piece ginger, washed, peeled and chopped, 10 garlic cloves, peeled, 1 teaspoon coriander seeds, 2 whole cloves, 2 green cardamom pods, 1 small piece of cinnamon, 2–3 teaspoons red chile powder, salt, to taste, 80ml (⅓ cup) vegetable oil, 3 onions, finely chopped, 4 green chiles, finely chopped, ½ teaspoon garam masala powder, 2-3 tablespoons chopped cilantro leaves, to garnish",1430.9564186163714,26.23967999999963,92.6514191873732,7.353968546598005,Andhra Pradesh,False,False
6,Telangana Chicken (Telangana-Style Curried Chicken Stew),"1 1⁄2 cups coconut milk, 5 tbsp. plain, full-fat yogurt, 3 tbsp. fresh lime juice, 1 tbsp. garam masala, 1 tsp. red chile powder, preferably Kashmiri, or cayenne, 6 cloves garlic, peeled, 1 (4″) piece ginger, peeled and thinly sliced, Kosher salt, to taste, 3 lb. chicken drumsticks and thighs, skin removed, 3 lb. chicken drumsticks and thighs, skin removed, 27 fresh or frozen curry leaves, defrosted if frozen, 8 green cardamom pods, 1 piece mace (optional), 1 star anise, 1 stick cinnamon, 1⁄4 cup canola or peanut oil, 3 small green Thai chiles or 1 1/2 serranos, halved, 2 medium yellow onions, halved and thinly sliced crosswise, 1 tbsp. chopped cilantro",6639.575685199409,15.82260249993546,482.5042956299705,170.3903777779727,Andhra Pradesh,False,True
7,Roasted Baby Potatoes with Southern Indian Spices,"¼ cup canola oil plus extra, for greasing baking dish, 3 pounds baby red potatoes, rinsed and halved (larger potatoes quartered), 20 curry leaves (optional), 6 dried red chiles, 2 teaspoons mustard seeds, 1½ teaspoons cumin seeds, A 1-inch piece fresh ginger, peeled and finely minced, 3 garlic cloves, peeled and finely minced, ½ jalapeno (cored and seeded if you prefer a milder flavor), finely chopped, 1 teaspoon turmeric, 1 tablespoon kosher salt, ½ cup chopped fresh cilantro, ½ cup chopped fresh mint leaves, 1 lime, half juiced and the other half cut into wedges for serving, ¼ teaspoon cayenne pepper",1569.3714770003392,21.107449719,59.59826795400564,4.857697988501473,Andhra Pradesh,False,False
8,Eggplant Roti Pachchadi,"1/2 teaspoon coriander seeds, such as Diaspora Nandini, 1 teaspoon cumin seeds, such as Diaspora Nagauri, 1/4 teaspoon fenugreek seeds, Kosher salt (we use Diamond Crystal), 1 small eggplant, or 1/2 large (about 8 ounces), 1/4 cup plus 1 teaspoon vegetable oil, 1/4 cup plus 1 teaspoon vegetable oil, 1 small onion, finely chopped (1 cup), 4 to 5 cloves garlic, smashed and peeled, 2 medium tomatoes, coarsely chopped (2 cups), 3 to 4 Indian green or serrano chiles, broken in half, 1/2 teaspoon ground turmeric, such as Diaspora Pragati, 1 teaspoon tamarind paste, such as Tamicon, 2 to 3 tablespoons coarsely chopped fresh cilantro leaves, 1 teaspoon sugar, 1 teaspoon black mustard seeds, 2 dried red chiles, such as Diaspora Guntur sannam, broken in half, 10 to 12 fresh curry leaves (available at Indian markets)",762.7357108072863,24.97427231775384,63.356438005659605,4.295196569431519,Andhra Pradesh,False,False
9,Guntur-Chile Chicken,"2 1/4 pounds bone-in chicken breasts, thighs, and drumsticks, 1 tablespoon minced or grated garlic (from 2 to 3 cloves), 1 tablespoon minced or grated fresh ginger (from a 2-inch piece), Kosher salt (we use Diamond Crystal), 1 to 1 1/2 teaspoons ground dried red chiles, such as Diaspora Guntur sannam, 1/2 teaspoon ground turmeric, such as Diaspora Pragati, 2 tablespoons whole-milk yogurt (not Greek), 2 teaspoons coriander seeds, such as Diaspora Nandini, 1 teaspoon cumin seeds, such as Diaspora Nagauri, 1/4 teaspoon fenugreek seeds (available at Indian markets), 3 tablespoons unsweetened shredded coconut, 1/4 cup plus 1/2 teaspoon vegetable oil, 1/4 cup plus 1/2 teaspoon vegetable oil, 4 to 5 dried red chiles, such as Diaspora Guntur sannam (or fewer, if desired, for less spice), 6 whole cloves, such as Diaspora Kandyan, 2 green-cardamom pods, such as Diaspora Baraka, 1 whole, 1 crushed, 2 cinnamon-stick pieces (each about 1 inch long), 3 onions, chopped (about 5 cups), 4 Indian green or serrano chiles, slit lengthwise halfway through (left attached at stem ends), 2 to 3 teaspoons freshly coarse-ground black pepper, such as Diaspora Aranya, 1 tablespoon ghee, 8 to 10 fresh curry leaves (available at Indian markets), Steamed rice or flatbread, for serving",2288.4710416742,35.94487687497299,136.35641260508197,35.82084209365698,Andhra Pradesh,False,False
