name,code,protcnt,fibtg,choavldf,enerc,water,fasat,fams,fapu,f18d1cn9,f18d2cn6,f18d3n3,cholc,fsugar,frus,glus,sucs,starch,lactose
"Amaranth seed, black",A001,14.59,7.02,59.98,1490.0,9.89,1280.0,1033.0,2279.0,1020.0,2259.0,20.91,0.0,0.88,0.1,0.22,0.46,55.83,0.0
"Amaranth seed, pale brown",A002,13.27,7.47,61.46,1489.0,9.2,1140.0,1043.0,2266.0,1030.0,2223.0,43.03,0.0,0.8,0.1,0.22,0.48,59.33,0.0
Bajra,A003,10.96,11.49,61.78,1456.0,8.97,875.0,1047.0,1984.0,1040.0,1844.0,140.0,0.0,0.81,0.21,0.6,0.0,55.21,0.0
Barley,A004,10.94,15.64,61.29,1321.0,9.77,232.0,90.79,575.0,90.79,549.0,26.32,0.0,0.06,0.0,0.06,0.0,72.67,0.0
Jowar,A005,9.97,10.22,67.68,1398.0,9.01,163.0,314.0,524.0,314.0,508.0,16.54,0.0,1.27,0.57,0.1,0.6,59.7,0.0
"Maize, dry",A006,8.8,12.24,64.77,1398.0,9.26,413.0,706.0,1606.0,700.0,1565.0,40.76,0.0,1.66,0.16,0.8,0.7,59.35,0.0
"Maize, tender, local",A007,3.57,3.67,22.69,502.0,68.29,109.0,147.0,347.0,145.0,337.0,10.46,0.0,1.47,0.27,0.8,0.4,15.88,0.0
"Maize, tender, sweet",A008,4.16,3.3,16.42,405.0,74.4,123.0,176.0,300.0,174.0,292.0,7.65,0.0,4.67,0.91,0.97,2.79,7.45,0.0
Quinoa,A009,13.11,14.66,53.65,1374.0,10.43,570.0,1424.0,2406.0,1323.0,2203.0,204.0,0.0,1.41,0.0,1.41,0.0,48.41,0.0
Ragi,A010,7.16,11.18,66.82,1342.0,10.89,317.0,585.0,431.0,585.0,362.0,68.58,0.0,0.34,0.0,0.25,0.12,62.13,0.0
Rice flakes,A011,7.44,3.46,76.75,1480.0,10.36,284.0,425.0,577.0,425.0,553.0,24.37,0.0,0.34,0.0,0.2,0.14,68.06,0.0
Rice puffed,A012,7.47,2.56,77.68,1514.0,9.4,46.84,39.77,44.8,39.77,43.42,1.39,0.0,0.64,0.0,0.49,0.15,69.25,0.0
"Rice, raw, brown",A013,9.16,4.43,74.8,1480.0,9.33,346.0,203.0,506.0,197.0,490.0,16.1,0.0,0.69,0.0,0.55,0.14,71.31,0.0
"Rice, parboiled, milled",A014,7.81,3.74,77.16,1471.0,10.09,150.0,86.66,216.0,84.09,209.0,7.18,0.0,0.67,0.0,0.51,0.16,76.14,0.0
"Rice, raw, milled",A015,7.94,2.81,78.24,1491.0,9.93,184.0,117.0,253.0,109.0,234.0,9.51,0.0,0.69,0.0,0.54,0.15,75.7,0.0
Samai,A016,10.13,7.72,65.55,1449.0,11.36,589.0,868.0,1277.0,868.0,1230.0,47.2,0.0,0.37,0.0,0.24,0.13,56.07,0.0
Varagu,A017,8.92,6.39,66.19,1388.0,14.23,246.0,297.0,597.0,291.0,576.0,21.02,0.0,1.29,0.0,0.89,0.4,64.96,0.0
"Wheat flour, refined",A018,10.36,2.76,74.27,1472.0,11.34,98.55,50.64,343.0,50.64,325.0,17.45,0.0,1.79,0.64,0.75,0.4,70.03,0.0
"Wheat flour, atta",A019,10.57,11.36,64.17,1340.0,11.1,206.0,149.0,742.0,149.0,697.0,44.93,0.0,1.8,0.72,0.78,0.3,56.82,0.0
"Wheat, whole",A020,10.59,11.23,64.72,1347.0,10.58,191.0,141.0,654.0,141.0,616.0,38.51,0.0,1.77,0.74,0.73,0.3,57.53,0.0
"Wheat, bulgur",A021,10.84,8.81,69.06,1430.0,8.61,196.0,152.0,700.0,152.0,657.0,42.69,0.0,1.2,0.32,0.55,0.33,60.54,0.0
"Wheat, semolina",A022,11.38,9.72,68.43,1396.0,8.94,88.87,67.34,325.0,67.34,306.0,19.21,0.0,1.65,0.6,0.55,0.5,58.2,0.0
"Wheat, vermicelli",A023,9.7,9.28,70.39,1392.0,9.59,64.59,36.06,220.0,36.06,209.0,11.26,0.0,1.68,0.6,0.58,0.5,55.31,0.0
"Wheat, vermicelli, roasted",A024,10.37,9.55,71.42,1423.0,7.61,49.95,28.84,170.0,28.84,162.0,8.55,0.0,2.14,0.63,1.01,0.5,54.55,0.0
"Bengal gram, dal",B001,21.55,15.15,46.72,1377.0,9.18,469.0,876.0,2476.0,855.0,2360.0,116.0,0.0,1.03,0.1,0.1,0.63,40.49,0.0
"Bengal gram, whole",B002,18.77,25.22,39.56,1201.0,8.56,453.0,890.0,2337.0,871.0,2220.0,117.0,0.0,0.99,0.1,0.1,0.69,35.69,0.0
"Black gram, dal",B003,23.06,11.93,51.0,1356.0,9.16,276.0,186.0,742.0,186.0,176.0,566.0,0.0,0.84,0.2,0.2,0.44,47.89,0.0
"Black gram, whole",B004,21.97,20.41,43.99,1219.0,8.7,258.0,161.0,718.0,161.0,117.0,601.0,0.0,0.45,0.1,0.1,0.3,42.19,0.0
"Cowpea, brown",B005,20.36,11.54,54.62,1340.0,9.42,283.0,60.58,550.0,57.69,343.0,207.0,0.0,1.6,0.3,0.61,0.68,45.49,0.0
"Cowpea, white",B006,21.25,11.7,53.77,1340.0,9.32,285.0,70.12,557.0,67.63,354.0,203.0,0.0,1.18,0.13,0.39,0.67,46.33,0.0
"Field bean, black",B007,19.93,23.4,43.46,1155.0,9.57,188.0,80.07,468.0,80.07,398.0,69.82,0.0,1.15,0.2,0.53,0.42,40.07,0.0
"Field bean, brown",B008,19.9,22.4,45.24,1184.0,8.74,198.0,127.0,460.0,127.0,389.0,70.06,0.0,1.17,0.2,0.29,0.68,42.3,0.0
"Field bean, white",B009,19.84,22.99,44.53,1173.0,8.61,186.0,61.57,503.0,61.57,426.0,76.61,0.0,1.07,0.1,0.41,0.56,42.25,0.0
"Green gram, dal",B010,23.88,9.37,52.59,1363.0,9.77,247.0,35.85,534.0,35.85,377.0,157.0,0.0,0.95,0.1,0.3,0.55,41.06,0.0
