RecipeName,Cuisine,Quantity,Unit,Ingredient
Masala Karela Recipe,Indian,1,tablespoon,Red Chilli powder
Masala Karela Recipe,Indian,3,tablespoon,Gram flour besan
Masala Karela Recipe,Indian,2,teaspoons,Cumin seeds Jeera
Masala Karela Recipe,Indian,1,tablespoon,Coriander Powder Dhania
Masala Karela Recipe,Indian,2,teaspoons,Turmeric powder Haldi
Masala Karela Recipe,Indian,,,Salt  to taste
Masala Karela Recipe,Indian,1,tablespoon,Amchur Dry Mango Powder
Masala Karela Recipe,Indian,6,,Karela Bitter Gourd/ Pavakkai  deseeded
Masala Karela Recipe,Indian,,,Sunflower Oil  as required
Masala Karela Recipe,Indian,1,,Onion thinly sliced
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,Indian,2,cups,Coriander Dhania Leaves  tightly packed
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,Indian,4,,cloves Garlic
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,Indian,1,inch,Ginger  chopped
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,Indian,1,teaspoon,Garam masala powder
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,Indian,1,,Cinnamon Stick Dalchini  small
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,Indian,2,,Green Chillies  chopped
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,Indian,1,,Onion roughly chopped
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,Indian,1,tablespoon,Sunflower Oil
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,Indian,2,,Cloves Laung
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,Indian,1,,Bay leaf tej patta
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,Indian,4,,Whole Eggs  boiled
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,Indian,2,tablespoons,Fresh cream
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,Indian,1,cup,Mint Leaves Pudina  chopped
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,Indian,2,teaspoons,Coriander Powder Dhania
Gourd Raita Recipe - Grated Bottle Gourd Yogurt Salad,Indian,1,,green finely chopped
Gourd Raita Recipe - Grated Bottle Gourd Yogurt Salad,Indian,1,,cucumber peel and grind
Gourd Raita Recipe - Grated Bottle Gourd Yogurt Salad,Indian,1/2,teaspoon,cumin powder
Gourd Raita Recipe - Grated Bottle Gourd Yogurt Salad,Indian,1,cup,gourd  peel and tighten
Gourd Raita Recipe - Grated Bottle Gourd Yogurt Salad,Indian,,,salt  as per taste
Gourd Raita Recipe - Grated Bottle Gourd Yogurt Salad,Indian,2,cups,curd
Gourd Raita Recipe - Grated Bottle Gourd Yogurt Salad,Indian,1,,green coriander  little
Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,Indian,,,Ice cubes  a few
Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,Indian,3,tablespoons,Milk  luke warmmore cold milk as needed
Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,Indian,1,cup,Curd Dahi / Yogurt  low fat
Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,Indian,3/4,cup,Mango Pulp Puree
Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,Indian,2,pinch,Saffron strands
Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,Indian,1,tablespoon,Sugar  or honey
Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,Indian,3,tablespoons,Badam Almond  roughly chopped
Dalia Pakora Recipe - Dalia Pakora Recipe,Indian,1,,Green Chilli  finely chopped
Dalia Pakora Recipe - Dalia Pakora Recipe,Indian,1/2,teaspoon,Turmeric powder Haldi
Dalia Pakora Recipe - Dalia Pakora Recipe,Indian,1,teaspoon,Enos fruit salt
Dalia Pakora Recipe - Dalia Pakora Recipe,Indian,,,Salt  to taste
Dalia Pakora Recipe - Dalia Pakora Recipe,Indian,1/2,teaspoon,Sunflower Oil
Dalia Pakora Recipe - Dalia Pakora Recipe,Indian,,,Sunflower Oil  as required to fry the pakoras
Dalia Pakora Recipe - Dalia Pakora Recipe,Indian,1,cup,Broken Wheat Dalia/ Godumai Rava
Dalia Pakora Recipe - Dalia Pakora Recipe,Indian,1/4,cup,Coriander Dhania Leaves  finely chopped
Dalia Pakora Recipe - Dalia Pakora Recipe,Indian,1,,Onion finely chopped
Dalia Pakora Recipe - Dalia Pakora Recipe,Indian,1,tablespoon,Sunflower Oil
Dalia Pakora Recipe - Dalia Pakora Recipe,Indian,1/2,teaspoon,Ajwain Carom seeds
Dalia Pakora Recipe - Dalia Pakora Recipe,Indian,,,Water  as required to make a thick pakora batter
Dalia Pakora Recipe - Dalia Pakora Recipe,Indian,1/3,cup,Gram flour besan
Dalia Pakora Recipe - Dalia Pakora Recipe,Indian,1/2,teaspoon,Cumin seeds Jeera
Cheesy Garlic Broccoli Nuggets Recipe,Indian,1/4,cup,Whole Wheat Bread crumbs
Cheesy Garlic Broccoli Nuggets Recipe,Indian,,,Salt  to taste
Cheesy Garlic Broccoli Nuggets Recipe,Indian,11/2,cups,Broccoli  florets
Cheesy Garlic Broccoli Nuggets Recipe,Indian,2,tablespoons,Corn flour
Cheesy Garlic Broccoli Nuggets Recipe,Indian,1,tablespoon,Nutralite Cheesy Garlic Mayo
Cheesy Garlic Broccoli Nuggets Recipe,Indian,1/2,cup,Mozzarella cheese
Cheesy Garlic Broccoli Nuggets Recipe,Indian,,,Nutralite Garlic  Oregano Spread  for pan roasting
Tofu Pulao Recipe,Indian,3,,lon g
Tofu Pulao Recipe,Indian,1,,lentil sugar
Tofu Pulao Recipe,Indian,1,teaspoon,cumin seeds
Tofu Pulao Recipe,Indian,1,tablespoon,ginger garlic paste
